,X1,X2,Y
0,31890.81,-1152.31,10047.39
1,9541.53,19435.06,8363.98
2,13616.13,4343.12,8413.1
3,28655.14,17961.07,11991.7
4,31819.96,45277.45,9283.49
5,29538.74,12312.27,8072.97
6,3002.09,-6318.29,5797.85
7,16463.7,11985.8,3349.89
8,33103.01,5934.45,2848.28
9,22456.51,-1005.66,3704.53
10,-29425.57,-10938.59,1610.02
11,-1395.06,-20723.66,444.13
12,-2080.74,-21175.9,24.89
13,7955.1,-6651.41,222.0
14,-9747.16,4656.83,311.33
